Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
Cizzorz,248341530,71370,12092,3479,2041043,315938,5131633,TRUE,FALSE,English
소행성612 (01bd02),248246520,81630,6736,3041,70997,70996,5776345,TRUE,FALSE,Korean
julien,247480005,82350,15150,3005,636939,175259,4087988,TRUE,FALSE,English
CuteDog_,247272060,209100,4803,1182,126958,18501,3528399,TRUE,TRUE,English
ESL_CSGOb,246810930,50895,66689,4849,701466,135325,9841737,TRUE,FALSE,English
KarasMai,246292575,131880,5457,1867,373576,146669,5489910,TRUE,TRUE,English
NiteNightKid,246222465,128805,16467,1911,36470,9959,2272788,TRUE,TRUE,English
PurpleBixi,246160935,51675,28682,4763,191701,149425,7960540,TRUE,FALSE,Turkish
Mibrtv,245978055,10935,118007,22494,372550,122068,5658176,TRUE,FALSE,Portuguese
UNLOSTV,245506290,21495,109328,11421,1924512,298097,12105009,TRUE,FALSE,Turkish
RTGame,245225865,48975,20354,5007,1015371,209823,8163136,TRUE,FALSE,English
yeTz,245167155,126165,26293,1943,877388,53261,7548053,TRUE,FALSE,Portuguese
dafran,245047050,43815,20849,5592,682643,85859,4946755,TRUE,FALSE,English
Silithur,244765530,107415,38176,2278,455464,372336,9010012,TRUE,FALSE,Spanish
pgod,244730355,57795,18398,4234,597435,532116,10295543,TRUE,TRUE,Spanish
Bawkbasoup,244503120,137040,23018,1784,118825,28670,3191361,TRUE,TRUE,English
Alderiate,244003035,60315,12799,4045,373783,68999,7260212,TRUE,FALSE,French
kutcherlol,243636285,157950,8851,1542,247174,56639,7224742,TRUE,FALSE,German
DanucD,242426790,136995,4351,1769,642454,120264,10151158,TRUE,FALSE,English
yamatonjp,242206260,131940,8212,1835,195046,33818,9678230,TRUE,FALSE,Japanese
blanchitooo,242091735,106995,25098,2262,511554,453507,9462221,TRUE,FALSE,Spanish
okyyy,241556160,37935,76741,6367,636903,470710,6754510,TRUE,FALSE,Spanish
Crocodyle_lol,241527120,94905,7363,2544,169375,81937,6070181,TRUE,TRUE,French
Crown,241284630,5985,152397,40314,20970,19610,83563064,TRUE,FALSE,English
Subroza,241203555,70140,12938,3438,366763,343985,8897673,TRUE,FALSE,English
Beaulo,240790140,39795,54276,6050,930905,405632,4643548,TRUE,FALSE,English
Maya,240471540,44700,82362,5379,455138,266944,7594955,TRUE,FALSE,English
1DrakoNz,240008820,255015,27154,941,526146,211602,6955936,TRUE,TRUE,Portuguese
김뚜띠_ (kimdduddi),239850645,85965,8606,2790,174136,29713,4255270,TRUE,FALSE,Korean
ImSoFresh,239752710,163260,9298,1468,133900,27606,4259849,TRUE,FALSE,French
Spursito,239690925,36150,40653,6630,728105,588842,7024012,TRUE,FALSE,Spanish
HOLLYWOOD285,239585595,171330,6989,1398,173656,104469,1302236,TRUE,FALSE,Italian
rickyedit,239379450,100845,27229,2373,511038,408730,8853107,TRUE,TRUE,Spanish
ElSpreen,239223180,57255,26533,4178,952710,885969,7304432,TRUE,FALSE,Spanish
Tixinhadois,239189865,104250,16010,2294,322828,104842,5975947,TRUE,FALSE,Portuguese
_연두부_ (lovelyyeon),238231185,152415,4336,1563,157644,62470,8380305,TRUE,FALSE,Korean
Ko0416,238084335,193305,4629,1231,112918,2854,9184339,TRUE,TRUE,Chinese
P4wnyhof,237153900,174120,8625,1362,491222,5846,7529124,TRUE,FALSE,English
PokerStars247,236715135,520905,1129,454,119827,34278,2812840,FALSE,FALSE,English
개복어 (dogswellfish),235893360,164700,6170,1432,224961,13391,11656914,TRUE,FALSE,Korean
웁_게임방송 (alenenwooptv),235893165,177690,4237,1327,131263,7408,4656577,TRUE,FALSE,Korean
TROPS4,235512390,60675,28833,3881,36028,35116,28000202,TRUE,FALSE,German
Eret,235435605,43380,120470,5427,1047997,1042190,5643835,TRUE,FALSE,English
CrReaM,235358100,143010,14434,1645,172675,7338,2396301,TRUE,TRUE,English
SidneyEweka,235250115,112620,23612,2088,300928,221509,4216804,TRUE,FALSE,German
gafallen,234729900,32325,45023,7261,1231738,327372,11836368,TRUE,FALSE,Portuguese
Naowh,233990340,116100,8435,2015,162553,71760,6756845,TRUE,FALSE,English
HellYeahPlay,233602980,131580,3946,1775,169226,43338,7979792,TRUE,FALSE,Russian
Rammus53,233252565,59910,10813,3893,1162532,264770,8223581,TRUE,TRUE,Turkish
momoladinastia,232759965,42495,48982,5477,724473,438316,7281502,TRUE,TRUE,Spanish
Sweet_Anita,232176390,64665,33087,3590,1706944,840118,13233139,TRUE,TRUE,English
ElOjoNinja,232145220,88785,12786,2614,413071,171812,9421775,TRUE,FALSE,Spanish
Tyceno,231907665,28125,40407,8245,528578,343719,2720227,TRUE,TRUE,English
itmeJP,231836160,133035,25353,1742,365999,-4413,5033168,TRUE,FALSE,English
Pelegrino1993,231684585,137835,10337,1680,133213,63374,2990760,TRUE,FALSE,Portuguese
Dyrus,231522030,209160,9782,1106,1462285,-13432,5160453,TRUE,TRUE,English
Alliege,231492240,103695,36207,2232,631645,569528,9248317,TRUE,FALSE,Spanish
Abracadabra,231418305,111255,32294,2080,64180,58969,45780820,TRUE,FALSE,English
BULLSEYE,230941170,156045,16063,1479,126905,85790,10159977,TRUE,FALSE,Russian
JASONR,230431635,208320,33902,1106,811611,71441,7301346,TRUE,FALSE,English
Snip3down,229866990,119325,22992,1926,363402,214522,5601115,TRUE,TRUE,English
momonkunn,229557615,70485,38266,3256,723365,579014,9438469,TRUE,FALSE,Spanish
x6FlipiN,229266285,56655,21675,4046,369813,139122,11678562,TRUE,FALSE,Spanish
크캣66 (crazzyccat),229204815,183825,7958,1246,69898,41250,4635924,TRUE,FALSE,Korean
TheRunningManZ,228978930,101895,4515,2247,202598,63069,3124819,TRUE,FALSE,English
Rekkles,228960090,11610,61059,19720,937495,326453,10846575,TRUE,FALSE,English
WOKE,228934215,90360,67635,2533,130201,44245,4116062,TRUE,TRUE,English
Kubon_,228826650,160650,5230,1424,283139,20531,7301687,TRUE,FALSE,Polish
Limmy,228726390,105120,6575,2175,310273,133273,3393441,TRUE,TRUE,English
LVPes2,228582570,42045,35815,5436,267161,106040,17335459,TRUE,FALSE,Spanish
erobb221,228223785,98865,21637,2308,294215,70804,3121182,TRUE,FALSE,English
Moondye7,228036990,87990,22231,2591,315992,15138,5073390,TRUE,FALSE,German
Dekarldent,227867685,74985,6140,3038,64075,2421,2650638,TRUE,FALSE,German
大丸 (wtf_winds123),227821920,94065,11975,2421,276233,21797,10269089,TRUE,FALSE,Chinese
SparkofPhoenixTV,227174325,97140,27588,2338,597120,185409,5601485,TRUE,FALSE,German
Silky,227025270,103080,13718,2202,173825,141007,3096519,TRUE,TRUE,English
Cerbero_Podcast,226847325,41910,29314,5412,258777,105095,5609337,TRUE,FALSE,Italian
Pun1shers_TV,226796295,113115,5575,2005,108387,34962,4409054,TRUE,FALSE,Greek
Strippin,226721940,118320,7043,1916,300684,11203,3250328,TRUE,FALSE,English
WeAreTheVR,226718355,73815,20851,3071,474978,83689,10145335,TRUE,TRUE,Hungarian
biyin_,226671210,16230,174435,13966,1525097,1099049,11889579,TRUE,FALSE,Spanish
TopGamersAcademy,226656060,81060,43673,2796,341602,335768,9456667,TRUE,FALSE,Spanish
snoodyboo,226613895,128385,9383,1765,93534,40548,6119203,TRUE,FALSE,Spanish
VonDice,226506105,50190,21414,4512,122520,86678,3502696,FALSE,TRUE,English
AbdulHD,226289115,169680,11775,1333,282165,141571,2514009,TRUE,TRUE,English
lilsimsie,225663990,55800,23223,4044,430271,231215,4610699,TRUE,FALSE,English
무굴 (moogrr1211),225306675,199260,13982,1130,48395,12521,3999278,TRUE,FALSE,Korean
Kotton,225171150,76725,61987,2934,269186,37323,2826208,TRUE,TRUE,English
mokrivskyi,224749845,32685,29983,6876,429617,197517,12068645,FALSE,FALSE,Russian
BananaSlamJamma,224562585,133050,6547,1687,212384,50051,3739679,TRUE,TRUE,English
valorant_jpn,224322600,26085,41373,8599,88995,87942,7829697,TRUE,FALSE,Japanese
iinwafqht,224301945,65655,10157,3416,269885,197985,4092166,TRUE,FALSE,Arabic
Lacari,224027025,134730,16687,1662,227454,86962,3889795,TRUE,TRUE,English
XcaliburYe,223658670,168960,7971,1323,102599,58477,4327620,TRUE,FALSE,English
쉐리 (kss7749),223346925,91770,17034,2433,177201,11324,6475325,TRUE,FALSE,Korean
DumbDog,223075455,150525,14081,1481,188939,114710,4464421,TRUE,FALSE,English
Sologesang,222099840,149700,4888,1483,85075,33023,4859713,TRUE,FALSE,German
Hungrybox,221870775,107370,33666,2066,312312,122576,4522825,TRUE,FALSE,English
Simply,221597640,98700,29511,2245,194455,145804,4135967,TRUE,FALSE,English
Kalei,221488185,155925,7156,1420,390017,246337,5392318,TRUE,TRUE,English
SovietWomble,221134275,66240,11339,3338,1485658,163848,6443695,TRUE,TRUE,English
Xnapycz,220971885,97200,9641,2273,148504,62038,7515055,TRUE,TRUE,Czech
TheRealMarzaa,220537515,98850,13582,2231,791107,344733,4680022,TRUE,FALSE,Italian
FifaTargrean,220412115,141900,5538,1553,423653,33412,7727034,TRUE,FALSE,Thai
MrSavage,220375380,26055,42004,8458,2253008,905842,11606018,TRUE,FALSE,English
ovotz,220165965,207615,7207,1060,379437,362814,7760399,TRUE,FALSE,Portuguese
iamSometimes,220112220,103155,14833,2133,266006,101750,6428918,TRUE,FALSE,Thai
Alexclick,220083510,84855,28875,2593,147962,74680,3875217,TRUE,TRUE,French
xTheSolutionTV,219939165,98835,23906,2225,458976,157626,4615434,TRUE,FALSE,German
72hrs,219923550,97920,30702,2245,1059251,85722,6675100,TRUE,FALSE,English
StreamerHouse,219922905,523875,8964,419,628358,-1330,2598596,TRUE,FALSE,English
Rumathra,219411360,135720,19028,1616,539925,271089,8011569,TRUE,FALSE,German
TheViper,218990550,59715,9381,3667,174822,74462,5653890,TRUE,FALSE,English
H0llyLP,218935275,149790,6886,1461,175277,26602,3915360,TRUE,TRUE,German
재슥짱 (pikra10),218776950,122550,14259,1785,127406,59046,5210096,TRUE,FALSE,Korean
iateyourpie,218506770,174645,21783,1251,125550,2554,2433484,TRUE,FALSE,English
소우릎 (so_urf),218468010,162870,9266,1341,107952,21626,8452582,TRUE,FALSE,Korean
Tommey,218288310,169680,28206,1286,303487,172352,3966492,TRUE,FALSE,English
awesamdude,218191155,20925,199602,10427,1038445,1033799,5928061,TRUE,FALSE,English
Nattank,217105155,122475,11025,1772,105390,33178,6772076,TRUE,TRUE,Portuguese
Crowder,216571635,108150,26401,2002,260646,139016,4223482,TRUE,FALSE,English
Sloot,216299730,188505,11907,1147,212870,13691,7428110,TRUE,FALSE,English
Nokokopuffs,216271830,158850,10744,1361,204658,152565,4261614,TRUE,TRUE,English
GoldGlove,216129180,95745,46963,2257,1421034,-3738,20628027,TRUE,FALSE,English
Naguura,214918125,121500,9577,1768,256531,88736,10183745,TRUE,FALSE,English
Jacob4TV,214764705,52725,18476,4073,306664,302790,12423856,TRUE,FALSE,Polish
IFrostBolt,214630170,185760,11026,1155,261530,86995,3723984,TRUE,FALSE,English
AverageJonas,214475670,130170,14767,1647,408503,399186,8918281,TRUE,FALSE,English
Mylonzete,213986070,64155,11512,3335,380095,213768,6521196,TRUE,FALSE,Portuguese
GTAWiseGuy,213591360,91500,12441,2334,174066,118856,5683773,TRUE,TRUE,English
ClintStevens,213556545,27000,17085,7909,471318,118972,2665216,TRUE,FALSE,English
龜狗 (sweetcampercs),213537690,116595,7001,1831,197224,35909,7300339,TRUE,TRUE,Chinese
keanelol,213143325,103905,17779,2051,192333,38229,3137500,TRUE,FALSE,English
Fairlight_Excalibur,212243325,177810,19156,1193,397843,-13463,1644256,TRUE,FALSE,English
TaliaMar,211753560,81990,15083,2582,560110,412179,13849203,TRUE,FALSE,English
Freneh,211088790,77325,16789,2729,306081,218172,3603594,TRUE,FALSE,Italian
grafo,210905295,139275,8538,1514,491325,118666,6549968,TRUE,FALSE,Spanish
TheKAIRI78,210656955,55875,47081,3770,1139029,361158,4290661,TRUE,FALSE,French
UnknownxArmy,210645870,58890,16636,3576,1122161,472017,9934440,TRUE,FALSE,English
六希夫 (qttsix),210312135,156135,7049,1346,133854,18851,8283306,TRUE,FALSE,Chinese
ZEON,210245445,102090,14651,2059,996320,70344,10461395,TRUE,FALSE,Turkish
bebe872,210169185,211965,5383,991,125215,61368,3499681,TRUE,FALSE,English
WorldofWarships,209883480,52590,54598,3990,230878,86912,11988867,TRUE,FALSE,English
TinaKitten,209675685,29415,51449,7128,665395,641999,6842973,TRUE,FALSE,English
Crayator,209274720,103680,5717,2018,720729,192449,6193678,TRUE,FALSE,English
WagamamaTV,208835745,176250,6233,1184,316841,6722,3420886,TRUE,FALSE,English
xPandorya,208417275,56820,16604,3668,244700,54978,3629492,TRUE,TRUE,German
MiltonTPike1,208268100,99795,20097,2086,269158,73022,3340699,TRUE,FALSE,English
bmkibler,208011810,122235,22956,1701,477389,2297,4098333,TRUE,FALSE,English
Nikolarn,207821850,78480,27178,2648,436609,-19812,22142776,TRUE,FALSE,English
SwaggerSouls,207715860,52815,18157,3932,1407700,678719,6539145,TRUE,TRUE,English
adeptthebest,207438060,121995,11900,1700,432749,274617,8418586,TRUE,FALSE,English
Welyn,207409050,55440,61460,3741,797927,379244,4491392,TRUE,FALSE,English
chistor_,207045960,77055,9605,2686,106731,24981,6836562,TRUE,FALSE,Russian
Criken,206993310,100830,25207,2052,310468,30561,4694624,TRUE,TRUE,English
Gosu,206553420,59595,9584,3465,1914702,199904,8283814,TRUE,FALSE,English
中信兄弟官方頻道 (brothers_baseball),206162265,33915,50359,6078,78516,43311,9518716,TRUE,FALSE,Chinese
Aa9skillz,206084370,63090,25807,3266,624309,133390,6927930,TRUE,FALSE,English
PrimeLeague,206018175,44685,39813,4610,105797,55656,12675220,TRUE,FALSE,German
RRaenee,205391190,36375,22205,5646,232684,181502,5781627,TRUE,FALSE,Turkish
ROBN,204791370,154410,73664,1326,83772,46993,2310862,TRUE,FALSE,English
BTMC,204768390,147315,6497,1390,294505,122915,5535952,TRUE,TRUE,English
Paoloidolo,204682230,126930,11544,1612,407997,233076,6849578,TRUE,FALSE,Italian
Diables,204426960,95460,9135,2141,146645,134569,8646289,TRUE,FALSE,Polish
Sick_Nerd,204220095,104265,6278,1958,183414,19641,2683113,TRUE,FALSE,English
GD_Booya,204191070,108705,16134,1878,278210,257191,2976120,TRUE,FALSE,English
flamuu,203448765,116610,4818,1744,125543,13496,2987207,TRUE,TRUE,English
依渟 (et_1231),202391310,71820,12749,2818,118520,116726,8831595,TRUE,FALSE,Chinese
jbzzed,202084365,137490,19396,1469,307168,109723,5659968,TRUE,FALSE,French
bnans,201980310,86700,67212,2329,535672,250772,11483454,TRUE,FALSE,English
CapcomFighters,201726975,26655,70326,7568,368695,28042,26349169,TRUE,FALSE,English
bananabrea,201671190,136560,21572,1476,170189,106207,4603214,TRUE,TRUE,English
LightFuryLF,201617295,105225,10421,1916,69816,22851,5571359,TRUE,FALSE,Thai
jorbs,201600660,130080,5274,1549,96353,29046,1977271,TRUE,FALSE,English
Arab,201575730,178800,11157,1127,447571,315879,10171889,TRUE,TRUE,English
cellinrj,201464985,121170,10980,1662,299051,94016,4845484,TRUE,FALSE,Portuguese
Dota2ruhub2,201281190,61800,17228,3256,261950,32741,12011185,TRUE,FALSE,Russian
Shurjoka,201235470,113145,13571,1778,180945,95330,10445909,TRUE,TRUE,German
peVoR13,200698245,139755,4855,1436,200684,93085,5186297,TRUE,FALSE,Polish
Gingerliness,200491785,161625,40188,1240,129391,116143,3968404,TRUE,TRUE,English
duckmanzch,200218035,136995,14684,1461,158498,45147,9474072,TRUE,FALSE,Thai
StolenBR,199805880,120705,13040,1655,232633,153142,4770387,TRUE,FALSE,Portuguese
ZONY,199789215,119475,7802,1672,490659,263187,7609386,TRUE,FALSE,Polish
Rizzo,199699425,88320,33486,2261,611442,275701,5420384,TRUE,FALSE,English
ironmouse,199555065,47220,12666,4226,543539,475010,4956259,TRUE,TRUE,English
akagreenn,198619515,29535,41084,6724,217304,114960,4929753,TRUE,FALSE,Turkish
Ssaab,198517845,198765,14641,998,235867,77922,5341629,TRUE,FALSE,English
Manyrin,197813055,75015,10349,2636,476089,74526,8988813,TRUE,FALSE,Russian
SoyPan,197552490,137580,13884,1435,491523,220306,3770593,TRUE,FALSE,Spanish
Linkus7,196619685,120435,5644,1632,179202,86727,2587971,TRUE,FALSE,English
OhTofu,196384170,94425,5066,2079,148690,74159,2413915,TRUE,TRUE,English
FarfadoxVEVO,196160205,36165,52397,5424,661802,433928,4892205,TRUE,FALSE,Spanish
RebeuDeter,196050660,27345,23915,7169,393890,228164,4008823,TRUE,FALSE,French
StereOnline,195390060,227175,3165,860,352852,43462,2869794,TRUE,FALSE,Portuguese
hexy,195139545,75465,25585,2585,362267,34478,2633458,TRUE,FALSE,English
Milan926_,195018255,111495,18683,1749,622137,536477,9347681,TRUE,FALSE,Spanish
MissaSinfonia,194893965,6105,77612,31923,1827349,1408919,4340928,TRUE,FALSE,Spanish
코렛트 (collet11),194857200,143775,5363,1355,243413,35288,7072781,TRUE,FALSE,Korean
BigSpinCR,194676240,132255,15478,1471,274843,91179,5364023,TRUE,FALSE,German
dinablin,194669070,62580,29316,3110,391640,181351,14483306,TRUE,FALSE,Russian
貝莉莓 (beryl_lulu),194531145,86010,15901,2261,210705,64154,13577380,TRUE,FALSE,Chinese
MoCbka34,194483625,224775,4431,865,39593,25358,1397602,TRUE,FALSE,Russian
Hirona,194439780,111360,13417,1746,203480,82377,3789446,TRUE,TRUE,English
Herdyn,194059005,110880,11211,1750,642345,251318,9826285,TRUE,TRUE,Czech
JokerdTV,193226865,104565,38931,1847,199628,44011,5087921,TRUE,TRUE,English
nugiyen,193215540,176730,12324,1093,133059,14921,4021270,TRUE,FALSE,English
NAKOO_Fn,192725490,99810,35326,1930,479481,455736,10597782,TRUE,FALSE,Spanish
Complexity,192712815,22995,44249,8380,115665,41118,8168430,TRUE,FALSE,English
TheGuill84,192533775,90435,8608,2128,230653,103912,4975541,TRUE,FALSE,French
Rubini,192404670,131355,5354,1464,117483,25703,6386718,TRUE,TRUE,Portuguese
RenanSouzones,192013350,177810,4633,1079,227680,159906,6190091,TRUE,FALSE,Portuguese
qSnake,191981190,154155,4166,1245,212824,20084,4848423,TRUE,FALSE,Russian
MasterTay,191854755,126435,11169,1517,127442,12186,5770985,TRUE,TRUE,German
Heideltraut,191710050,117570,5461,1630,169846,19581,3626295,TRUE,TRUE,German
kragiee,191560215,128775,12941,1487,277323,27018,3961018,TRUE,FALSE,English
Patriota,191548965,86205,29435,2222,894880,352870,6321571,TRUE,FALSE,Portuguese
GENSYXA,191531415,41055,40832,4665,645924,377406,14760852,TRUE,TRUE,Russian
DougisRaw,191162430,175530,22641,1089,166646,67849,3308738,TRUE,TRUE,English
Lobanjicaa,191108685,91530,9671,2087,322096,175583,39924883,TRUE,TRUE,English
AyarBaffo,191091975,85965,12139,2222,372991,220298,5646072,TRUE,FALSE,Italian
Dendi,191071530,43500,10848,4392,798931,94064,7319062,TRUE,FALSE,English
TpaBoMaH,190974585,82410,11966,2317,238650,104542,8882058,TRUE,FALSE,Russian
Kennzy,190963245,155145,69371,1230,214650,196682,5536266,TRUE,FALSE,Portuguese
Killars,190618335,378720,26234,503,109226,65995,1736290,TRUE,FALSE,English
superjj102,190605135,133065,4921,1432,126410,4417,1873899,TRUE,FALSE,English
csgomc_ru2,190477110,83820,59119,2272,229673,120162,12347784,TRUE,FALSE,Russian
Lapi,190443780,172215,8211,1105,146783,19827,7281250,TRUE,FALSE,French
Anna_Chess,189808365,65475,18222,2898,253293,229042,26159930,TRUE,FALSE,English
ipav999,189766290,261105,4479,726,196068,64823,4225545,TRUE,FALSE,English
HAchubby,189519915,79335,10552,2388,280194,81616,4547360,TRUE,FALSE,English
jccaylen,189332115,41175,14826,4598,200051,150299,2554919,TRUE,TRUE,English
JOEYKAOTYK,188805000,161985,13650,1165,90333,37548,5439064,TRUE,FALSE,English
OfficialAndyPyro,188678475,205050,5286,920,261632,8936,8076946,TRUE,TRUE,Finnish
Mynthos,188611170,149220,6826,1263,60173,36018,3135965,TRUE,FALSE,French
Arteezy,188451795,9030,67543,20869,660911,77651,4900942,TRUE,TRUE,English
Weak3n,188031915,128760,4948,1460,208604,29851,7863442,TRUE,FALSE,English
StreamieBR,187705245,260250,3982,721,117226,55651,2769003,TRUE,FALSE,Portuguese
CaptainSparklez,187276575,77235,46631,2424,1876449,373266,5164694,TRUE,FALSE,English
ernesBarbeQ,187133970,80520,46431,2324,521382,398606,8908547,TRUE,FALSE,Spanish
iGeStarK,186506910,112590,13893,1656,400669,253319,7649119,TRUE,FALSE,Spanish
keiozin,186497775,58905,19626,3166,329772,229959,6707130,TRUE,FALSE,Portuguese
TrymacsKaktusKoenig,185871120,392415,10136,473,77959,72613,2854227,FALSE,FALSE,German
PatoPapao,185847150,91725,9675,2026,695469,58417,6757860,TRUE,FALSE,Portuguese
PainLivestream,185766555,100980,18706,1839,526292,101274,3538959,TRUE,TRUE,German
OkCode,185711700,113310,9839,1638,101561,95258,3278633,TRUE,FALSE,English
xHankyy,185675415,125445,19326,1480,247922,164692,4601874,TRUE,FALSE,German
mailand,185608575,80400,10052,2308,118775,36134,4769472,TRUE,TRUE,German
ZeROBADASS,185527980,38685,10752,4795,379556,209075,3910585,TRUE,FALSE,Portuguese
Incon,185193945,121695,17351,1521,211276,35334,2324722,TRUE,FALSE,English
Adal,185117445,59085,13131,3133,624060,475023,11133856,TRUE,FALSE,Turkish
Tourva,185026095,119430,17114,1549,328344,112928,13420608,TRUE,FALSE,English
Shisheyu_Mayamoto,184836495,108000,13364,1711,64447,31773,2422985,TRUE,FALSE,French
JEFFAOCS,184646340,218445,12631,845,223713,155214,4435574,TRUE,TRUE,Portuguese
KamoLRF,184419465,83625,18282,2205,747938,96161,5129511,TRUE,FALSE,German
Datto,184369710,67950,81815,2713,595064,83617,5736720,TRUE,TRUE,English
Mmorpg,184228185,173625,6609,1061,239889,10884,3218327,TRUE,FALSE,English
